OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
01/01/2020,21/09/2019,SO45080,332,14657,1,1,1
01/01/2020,05/12/2019,SO45079,312,29255,4,1,1
01/01/2020,29/10/2019,SO45082,350,11455,9,1,1
01/01/2020,16/11/2019,SO45081,338,26782,6,1,1
02/01/2020,15/12/2019,SO45083,312,14947,10,1,1
02/01/2020,12/10/2019,SO45084,310,29143,4,1,1
02/01/2020,18/12/2019,SO45086,314,18747,9,1,1
02/01/2020,09/10/2019,SO45085,312,18746,9,1,1
03/01/2020,03/10/2019,SO45093,312,18906,9,1,1
03/01/2020,29/09/2019,SO45090,310,29170,4,1,1
03/01/2020,11/12/2019,SO45088,345,11398,10,1,1
03/01/2020,24/10/2019,SO45092,313,18899,9,1,1
03/01/2020,16/12/2019,SO45089,351,25977,4,1,1
03/01/2020,26/10/2019,SO45091,314,18909,9,1,1
03/01/2020,11/09/2019,SO45087,350,11388,10,1,1
03/01/2020,11/09/2019,SO45094,310,22785,6,1,1
04/01/2020,30/10/2019,SO45096,312,12483,7,1,1
04/01/2020,30/10/2019,SO45097,313,29151,4,1,1
04/01/2020,15/09/2019,SO45098,310,29167,1,1,1
04/01/2020,07/12/2019,SO45095,344,11394,10,1,1
04/01/2020,20/12/2019,SO45099,312,29174,1,1,1
05/01/2020,19/09/2019,SO45101,313,22748,6,1,1
05/01/2020,21/11/2019,SO45100,326,19428,8,1,1
05/01/2020,24/11/2019,SO45102,310,29274,4,1,1
06/01/2020,17/10/2019,SO45104,310,29142,4,1,1
06/01/2020,01/10/2019,SO45108,310,22975,6,1,1
06/01/2020,21/11/2019,SO45105,312,22765,6,1,1
06/01/2020,24/09/2019,SO45103,310,29140,1,1,1
06/01/2020,12/11/2019,SO45106,348,19987,6,1,1
06/01/2020,14/12/2019,SO45107,312,29275,4,1,1
07/01/2020,05/11/2019,SO45109,311,14937,10,1,1
07/01/2020,17/09/2019,SO45112,324,20558,10,1,1
07/01/2020,09/11/2019,SO45111,326,25713,9,1,1
07/01/2020,05/12/2019,SO45110,311,18710,9,1,1
08/01/2020,14/12/2019,SO45119,314,18740,9,1,1
08/01/2020,21/11/2019,SO45117,342,14727,1,1,1
08/01/2020,24/11/2019,SO45116,311,29204,1,1,1
08/01/2020,01/11/2019,SO45114,310,29146,1,1,1
08/01/2020,20/09/2019,SO45115,348,25984,4,1,1
01/01/2021,17/10/2020,SO48797,385,14335,1,1,1
01/01/2021,30/09/2020,SO48802,383,24923,9,1,1
01/01/2021,29/11/2020,SO48801,326,15493,1,1,1
01/01/2021,16/11/2020,SO48799,352,26708,4,1,1
01/01/2021,16/12/2020,SO48798,369,23332,9,1,1
01/01/2021,02/12/2020,SO48800,342,15491,5,1,1
01/01/2021,19/10/2020,SO48795,375,16538,8,1,1
01/01/2021,23/11/2020,SO48796,375,15094,7,1,1
02/01/2021,01/12/2020,SO48804,356,12276,8,1,1
02/01/2021,12/09/2020,SO48814,360,13647,9,1,1
02/01/2021,30/10/2020,SO48812,356,13630,9,1,1
02/01/2021,15/09/2020,SO48803,383,19416,10,1,1
02/01/2021,23/11/2020,SO48809,369,23411,9,1,1
02/01/2021,27/10/2020,SO48807,324,20892,10,1,1
02/01/2021,10/10/2020,SO48805,330,19318,7,1,1
02/01/2021,11/12/2020,SO48808,368,16552,8,1,1
02/01/2021,18/10/2020,SO48813,362,13631,9,1,1
02/01/2021,22/10/2020,SO48810,369,23415,9,1,1
02/01/2021,30/11/2020,SO48806,340,20885,10,1,1
02/01/2021,06/10/2020,SO48811,334,15517,4,1,1
03/01/2021,06/09/2020,SO48819,352,13622,9,1,1
03/01/2021,29/10/2020,SO48817,373,26049,6,1,1
03/01/2021,04/12/2020,SO48820,358,13958,9,1,1
03/01/2021,10/09/2020,SO48815,377,17700,10,1,1
03/01/2021,11/10/2020,SO48818,332,15497,4,1,1
03/01/2021,15/11/2020,SO48821,379,23344,9,1,1
03/01/2021,16/12/2020,SO48816,356,12459,10,1,1
04/01/2021,15/09/2020,SO48827,360,26729,1,1,1
04/01/2021,25/10/2020,SO48825,373,23414,9,1,1
04/01/2021,02/10/2020,SO48829,368,23121,9,1,1
04/01/2021,06/12/2020,SO48822,379,17743,10,1,1
04/01/2021,30/11/2020,SO48824,369,23408,9,1,1
04/01/2021,27/10/2020,SO48828,369,23120,9,1,1
04/01/2021,13/12/2020,SO48823,369,16821,8,1,1
04/01/2021,15/09/2020,SO48826,369,23421,9,1,1
05/01/2021,02/11/2020,SO48835,360,21148,6,1,1
05/01/2021,15/12/2020,SO48832,373,23418,9,1,1
05/01/2021,01/11/2020,SO48831,326,20886,10,1,1
05/01/2021,11/09/2020,SO48836,360,13959,9,1,1
01/01/2022,13/12/2021,SO61285,529,23791,1,2,2
01/01/2022,24/09/2021,SO61285,214,23791,1,3,1
01/01/2022,04/09/2021,SO61285,540,23791,1,1,1
01/01/2022,28/09/2021,SO61301,529,16747,1,2,2
01/01/2022,21/10/2021,SO61301,377,16747,1,1,1
01/01/2022,23/10/2021,SO61301,540,16747,1,3,1
01/01/2022,04/09/2021,SO61269,215,11792,4,1,1
01/01/2022,21/10/2021,SO61269,229,11792,4,2,1
01/01/2022,24/10/2021,SO61286,528,11530,6,2,2
01/01/2022,27/09/2021,SO61286,536,11530,6,1,2
01/01/2022,23/10/2021,SO61298,530,18155,10,1,2
01/01/2022,02/12/2021,SO61298,214,18155,10,3,1
01/01/2022,15/12/2021,SO61298,223,18155,10,2,1
01/01/2022,01/10/2021,SO61310,538,13541,8,2,2
01/01/2022,08/11/2021,SO61310,584,13541,8,1,1
01/01/2022,06/12/2021,SO61270,485,18259,9,1,2
01/01/2022,31/10/2021,SO61289,528,23694,1,1,2
01/01/2022,16/11/2021,SO61289,536,23694,1,2,2
01/01/2022,20/11/2021,SO61289,215,23694,1,3,1
01/01/2022,12/10/2021,SO61278,477,22308,10,3,2
01/01/2022,28/09/2021,SO61278,479,22308,10,2,1
01/01/2022,10/12/2021,SO61278,488,22308,10,4,1
01/01/2022,25/09/2021,SO61278,580,22308,10,1,1
01/01/2022,01/10/2021,SO61305,583,20236,9,1,1
01/01/2022,13/09/2021,SO61283,529,26273,1,2,2
01/01/2022,27/09/2021,SO61283,538,26273,1,1,2
01/01/2022,03/09/2021,SO61283,220,26273,1,3,1
01/01/2022,23/11/2021,SO61288,528,19709,6,1,2
01/01/2022,30/10/2021,SO61288,536,19709,6,2,2
01/01/2022,21/11/2021,SO61288,220,19709,6,3,1
01/01/2022,05/11/2021,SO61272,480,21239,9,2,2
01/01/2022,08/09/2021,SO61272,528,21239,9,1,2
01/01/2022,16/11/2021,SO61276,223,17252,9,2,3
01/01/2022,31/10/2021,SO61276,488,17252,9,1,1
01/01/2022,21/10/2021,SO61294,477,17396,4,1,2
01/01/2022,21/10/2021,SO61294,484,17396,4,2,2
01/01/2022,08/09/2021,SO61274,223,27148,9,1,3
01/01/2022,08/10/2021,SO61274,475,27148,9,2,1
01/01/2022,03/11/2021,SO61307,215,20260,9,2,1
